Date,Average
2021-11-11,15731.9
2021-11-10,15705.46
2021-11-09,15935.945
2021-11-08,16000.02
2021-11-05,15977.085
2021-11-04,15896.875
2021-11-03,15719.005
2021-11-02,15612.935
2021-11-01,15534.885
2021-10-29,15413.705
2021-10-28,15371.305
2021-10-27,15300.19
2021-10-26,15291.115
2021-10-25,15165.19
2021-10-22,15107.015
2021-10-21,15158.195
2021-10-20,15124.77
2021-10-19,15093.79
2021-10-18,14929.98
2021-10-15,14876.47
2021-10-14,14763.54
2021-10-13,14530.575
2021-10-12,14497.155
2021-10-11,14574.3
2021-10-08,14634.795
2021-10-07,14685.43
2021-10-06,14384.31
2021-10-05,14404.215
2021-10-04,14340.715
2021-10-01,14465.415
2021-09-30,14538.33
2021-09-29,14585.145
2021-09-28,14678.81
2021-09-27,14934.06
2021-09-24,15007.065
2021-09-23,15008.975
2021-09-22,14858.565
2021-09-21,14771.75
2021-09-20,14685.945
2021-09-17,15082.645
2021-09-16,15126.32
2021-09-15,15079.53
2021-09-14,15094.745
2021-09-13,15123.145
2021-09-10,15230.39
2021-09-09,15298.775
2021-09-08,15283.48
2021-09-07,15373.36
2021-09-03,15329.615
2021-09-02,15332.71
2021-09-01,15340.805
2021-08-31,15240.815
2021-08-30,15226.6
2021-08-27,15055.5
2021-08-26,14999.595
2021-08-25,15035.505
2021-08-24,15000.215
2021-08-23,14870.225
2021-08-20,14646.845
2021-08-19,14516.96
2021-08-18,14606.775
2021-08-17,14633.915
2021-08-16,14702.35
2021-08-13,14823.915
2021-08-12,14761.625
2021-08-11,14767.455
2021-08-10,14824.545
2021-08-09,14843.25
2021-08-06,14839.385
2021-08-05,14836.25
2021-08-04,14773.245
2021-08-03,14673.345
2021-08-02,14718.04
2021-07-30,14672.315
2021-07-29,14797.56
2021-07-28,14722.255
2021-07-27,14657.42
2021-07-26,14827.07
2021-07-23,14772.415
2021-07-22,14656.03
2021-07-21,14565.895
2021-07-20,14413.49
2021-07-19,14246.13
2021-07-16,14518.17
2021-07-15,14551.085
2021-07-14,14711.75
2021-07-13,14731.935
2021-07-12,14716.855
2021-07-09,14631.23
2021-07-08,14490.825
2021-07-07,14668.06
2021-07-06,14608.4
2021-07-02,14602.225
2021-07-01,14486.475
2021-06-30,14502.435
2021-06-29,14503.675
2021-06-28,14461.195
2021-06-25,14373.365
2021-06-24,14374.08
2021-06-23,14281.98
2021-06-22,14195.385
2021-06-21,14055.41
2021-06-18,14069.13
2021-06-17,14097.57
2021-06-16,14016.71
2021-06-15,14111.59
2021-06-14,14116.06
2021-06-11,14038.005
2021-06-10,13967.795
2021-06-09,13954.975
2021-06-08,13906.85
2021-06-07,13837
2021-06-04,13759.415
2021-06-03,13616.53
2021-06-02,13732.815
2021-06-01,13757.47
2021-05-28,13784.24
2021-05-27,13739.075
2021-05-26,13714.875
2021-05-25,13691.47
2021-05-24,13629.93
2021-05-21,13539.92
2021-05-20,13459.615
2021-05-19,13188.42
2021-05-18,13392.635
2021-05-17,13332.285
2021-05-14,13351.925
2021-05-13,13127.555
2021-05-12,13145.575
2021-05-11,13265.49
2021-05-10,13544.835
2021-05-07,13759.685
2021-05-06,13537.56
2021-05-05,13653.49
2021-05-04,13640.58
2021-05-03,13961.815
2021-04-30,14013.195
2021-04-29,14082.185
2021-04-28,14084.175
2021-04-27,14117.76
2021-04-26,14086.765
2021-04-23,13959.785
2021-04-22,13893.455
2021-04-21,13829.105
2021-04-20,13813.17
2021-04-19,13942.18
2021-04-16,14019.775
2021-04-15,14009.775
2021-04-14,13936.335
2021-04-13,13956.98
2021-04-12,13830.475
2021-04-09,13826.88
2021-04-08,13794.425
2021-04-07,13693.31
2021-04-06,13725.495
2021-04-05,13651.67
2021-04-01,13445.63
2021-03-31,13221.96
2021-03-30,12999.16
2021-03-29,13055.785
2021-03-26,13014.135
2021-03-25,12904.335
2021-03-24,13127.135
2021-03-23,13303.785
2021-03-22,13367.21
2021-03-19,13145.91
2021-03-18,13243.19
2021-03-17,13433.845
2021-03-16,13508.895
2021-03-15,13366.425
2021-03-12,13241.705
2021-03-11,13339.975
2021-03-10,13156.275
2021-03-09,13017.015
2021-03-08,12800.115
2021-03-05,12669.13
2021-03-04,12811.335
2021-03-03,13183.795
2021-03-02,13476.665
2021-03-01,13479.625
2021-02-26,13196.295
2021-02-25,13334.62
2021-02-24,13446.975
2021-02-23,13265.035
2021-02-22,13644.01
2021-02-19,13914.09
2021-02-18,13810.155
2021-02-17,13890.345
2021-02-16,14085.28
2021-02-12,14019.875
2021-02-11,13987.88
2021-02-10,13977.295
2021-02-09,14005.75
2021-02-08,13940.945
2021-02-05,13819.91
2021-02-04,13705.02
2021-02-03,13654.585
2021-02-02,13594.275
2021-02-01,13281.965
2021-01-29,13153.525
2021-01-28,13412.08
2021-01-27,13365.665
2021-01-26,13652.94
2021-01-25,13548.83
2021-01-22,13515.4
2021-01-21,13507.21
2021-01-20,13407.95
2021-01-19,13142.78
2021-01-15,13044.795
2021-01-14,13159.285
2021-01-13,13111.105
2021-01-12,13034.48
2021-01-11,13068.89
2021-01-08,13122.32
2021-01-07,12979.125
2021-01-06,12779.81
2021-01-05,12746.96
2021-01-04,12750.98
2020-12-31,12861.65
2020-12-30,12891.345
2020-12-29,12897.645
2020-12-28,12879.17
2020-12-24,12800.595
2020-12-23,12800.295
2020-12-22,12767.94
2020-12-21,12638.245
2020-12-18,12732.1
2020-12-17,12730.8
2020-12-16,12626.85
2020-12-15,12530.775
2020-12-14,12487.855
2020-12-11,12315.135
2020-12-10,12323.15
2020-12-09,12448.96
2020-12-08,12523.875
2020-12-07,12498.39
2020-12-04,12420.335
2020-12-03,12398.005
2020-12-02,12288.705
2020-12-01,12334.86
2020-11-30,12135.905
2020-11-27,12195.4
2020-11-25,12067.86
2020-11-24,11956.665
2020-11-23,11872.93
2020-11-20,11893.99
2020-11-19,11836.805
2020-11-18,11871.225
2020-11-17,11901.295
2020-11-16,11876.305
2020-11-13,11782.655
2020-11-12,11757.105
2020-11-11,11716.235
2020-11-10,11545.24
2020-11-09,11905.78
2020-11-06,11828.835
2020-11-05,11854.215
2020-11-04,11528.76
2020-11-03,11109.38
2020-11-02,10951.015
2020-10-30,10976.19
2020-10-29,11158.91
2020-10-28,11124.51
2020-10-27,11413.46
2020-10-26,11383.345
2020-10-23,11491.855
2020-10-22,11459.03
2020-10-21,11544.935
2020-10-20,11552.06
2020-10-19,11616.34
2020-10-16,11737.975
2020-10-15,11649.89
2020-10-14,11827.135
2020-10-13,11884.405
2020-10-12,11834.835
2020-10-09,11528.945
2020-10-08,11416.28
2020-10-07,11319.455
2020-10-06,11258.43
2020-10-05,11248.865
2020-10-02,11139.28
2020-10-01,11292.33
2020-09-30,11185.43
2020-09-29,11109.43
2020-09-28,11069.965
2020-09-25,10789.765
2020-09-24,10659.885
2020-09-23,10787.47
2020-09-22,10858.585
2020-09-21,10651.115
2020-09-18,10808.815
2020-09-17,10879.13
2020-09-16,11145.925
2020-09-15,11186.22
2020-09-14,11050.275
2020-09-11,10880.535
2020-09-10,11087.275
2020-09-09,11094.07
2020-09-08,10984.35
2020-09-04,11203.525
2020-09-03,11627.88
2020-09-02,11955.12
2020-09-01,11870.25
2020-08-31,11763.625
2020-08-28,11671.77
2020-08-27,11640.51
2020-08-26,11589.755
2020-08-25,11405.65
2020-08-24,11379.79
2020-08-21,11285.825
2020-08-20,11186.825
2020-08-19,11194.76
2020-08-18,11167.22
2020-08-17,11112.415
2020-08-14,11015.25
2020-08-13,11066.175
2020-08-12,10956.94
2020-08-11,10876.065
2020-08-10,10944.85
2020-08-07,11023.205
2020-08-06,11042.3
2020-08-05,10972.915
2020-08-04,10897.405
2020-08-03,10879.355
2020-07-31,10652.75
2020-07-30,10510.84
2020-07-29,10515.955
2020-07-28,10460.755
2020-07-27,10473.15
2020-07-24,10318.03
2020-07-23,10567.995
2020-07-22,10686.385
2020-07-21,10745.195
2020-07-20,10635.92
2020-07-17,10476.915
2020-07-16,10432.09
2020-07-15,10512.605
2020-07-14,10340.145
2020-07-13,10596.41
2020-07-10,10534.68
2020-07-09,10479.005
2020-07-08,10422.795
2020-07-07,10428.48
2020-07-06,10408.515
2020-07-02,10252.21
2020-07-01,10122.615
2020-06-30,9974.63
2020-06-29,9770.475
2020-06-26,9874.87
2020-06-25,9916.875
2020-06-24,9989.86
2020-06-23,10167.145
2020-06-22,9988.105
2020-06-19,9963.425
2020-06-18,9922.43
2020-06-17,9941.51
2020-06-16,9856.005
2020-06-15,9579.535
2020-06-12,9591.13
2020-06-11,9679.69
2020-06-10,10024.735
2020-06-09,9932.885
2020-06-08,9853.87
2020-06-05,9765.52
2020-06-04,9638.275
2020-06-03,9667.48
2020-06-02,9541.65
2020-06-01,9516.8
2020-05-29,9415.14
2020-05-28,9434.46
2020-05-27,9279.45
2020-05-26,9417.185
2020-05-22,9283.845
2020-05-21,9330.05
2020-05-20,9348.51
2020-05-19,9250.25
2020-05-18,9210.785
2020-05-15,8919.89
2020-05-14,8825.48
2020-05-13,8913.42
2020-05-12,9125.51
2020-05-11,9147.545
2020-05-08,9072.095
2020-05-07,8974.42
2020-05-06,8876.31
2020-05-05,8845.635
2020-05-04,8626.825
2020-05-01,8660.65
2020-04-30,8875.97
2020-04-29,8861.135
2020-04-28,8715.635
2020-04-27,8725.97
2020-04-24,8553.675
2020-04-23,8555.21
2020-04-22,8470.925
2020-04-21,8347.99
2020-04-20,8619.14
2020-04-17,8600.995
2020-04-16,8476.715
2020-04-15,8386.725
2020-04-14,8434.6
2020-04-13,8118.195
2020-04-09,8150.115
2020-04-08,8008.185
2020-04-07,8013.825
2020-04-06,7778.06
2020-04-03,7403.415
2020-04-02,7404.825
2020-04-01,7434.175
2020-03-31,7761.585
2020-03-30,7662.16
2020-03-27,7603.685
2020-03-26,7636.015
2020-03-25,7473.805
2020-03-24,7294.115
2020-03-23,6808.18
2020-03-20,7104.555
2020-03-19,7099.88
2020-03-18,6934.595
2020-03-17,7117.57
2020-03-16,7152.53
2020-03-13,7547.51
2020-03-12,7453.5
2020-03-11,8016.155
2020-03-10,8138.915
2020-03-09,8093.235
2020-03-06,8493.745
2020-03-05,8799.235
2020-03-04,8888.81
2020-03-03,8836.605
2020-03-02,8748.08
2020-02-28,8427.99
2020-02-27,8733.08
2020-02-26,9038.06
2020-02-25,9127.875
2020-02-24,9244.445
2020-02-21,9629.14
2020-02-20,9728.9
2020-02-19,9807.735
2020-02-18,9711.74
2020-02-14,9719.705
2020-02-13,9699.17
2020-02-12,9697.725
2020-02-11,9665.975
2020-02-10,9561.145
2020-02-07,9533.31
2020-02-06,9540.67
2020-02-05,9514.935
2020-02-04,9429.715
2020-02-03,9244.2
2020-01-31,9224.01
2020-01-30,9244.09
2020-01-29,9289.075
2020-01-28,9235.6
2020-01-27,9136.745
2020-01-24,9362.33
2020-01-23,9371.665
2020-01-22,9407.21
2020-01-21,9373.89
2020-01-17,9370.145
2020-01-16,9329.62
2020-01-15,9264.98
2020-01-14,9262.41
2020-01-13,9233.775
2020-01-10,9199.93
2020-01-09,9187.225
2020-01-08,9114.135
2020-01-07,9067.24
2020-01-06,9007.955
2020-01-03,9021.095
2020-01-02,9052.16
2019-12-31,8944.06
2019-12-30,8957.775
2019-12-27,9019.66
2019-12-26,8995.455
2019-12-24,8945.74
2019-12-23,8945.595
2019-12-20,8916.89
2019-12-19,8863.55
2019-12-18,8834.59
2019-12-17,8818.295
2019-12-16,8811.61
2019-12-13,8733.225
2019-12-12,8689.71
2019-12-11,8640.415
2019-12-10,8625.79
2019-12-09,8649.31
2019-12-06,8648.005
2019-12-05,8565.405
2019-12-04,8568.63
2019-12-03,8479.69
2019-12-02,8606.5
2019-11-29,8680.68
2019-11-27,8684.245
2019-11-26,8642.675
2019-11-25,8596.4
2019-11-22,8506.475
2019-11-21,8509.01
2019-11-20,8523.45
2019-11-19,8563.245
2019-11-18,8531.7
2019-11-15,8523.815
2019-11-14,8463.47
2019-11-13,8474.12
2019-11-12,8488.915
2019-11-11,8446.385
2019-11-08,8440.73
2019-11-07,8449.515
2019-11-06,8402.95
2019-11-05,8439.22
2019-11-04,8436.335
2019-11-01,8356.655
2019-10-31,8285.305
2019-10-30,8278.6
2019-10-29,8297.215
2019-10-28,8310.415
2019-10-25,8200.28
2019-10-24,8162.75
2019-10-23,8100.615
2019-10-22,8148.3
2019-10-21,8140.7
2019-10-18,8101.365
2019-10-17,8157.445
2019-10-16,8124.765
2019-10-15,8118.995
2019-10-14,8053.13
2019-10-11,8081.3
2019-10-10,7941.325
2019-10-09,7902.22
2019-10-08,7872.805
2019-10-07,7977.695
2019-10-04,7943.005
2019-10-03,7786.13
2019-10-02,7798.83
2019-10-01,7984.395
2019-09-30,7980.895
2019-09-27,7971.055
2019-09-26,8031.565
2019-09-25,8015.285
2019-09-24,8064.24
2019-09-23,8110.575
2019-09-20,8144.49
2019-09-19,8205.875
2019-09-18,8133.045
2019-09-17,8164.025
2019-09-16,8143.29
2019-09-13,8187.835
2019-09-12,8210.265
2019-09-11,8125.62
2019-09-10,8044.105
2019-09-09,8092
2019-09-06,8116.455
2019-09-05,8097.855
2019-09-04,7955.175
2019-09-03,7893.845
2019-08-30,7966.325
2019-08-29,7959.06
2019-08-28,7816.77
2019-08-27,7856.005
2019-08-26,7822.545
2019-08-23,7868.055
2019-08-22,7992.85
2019-08-21,8017.72
2019-08-20,7979.335
2019-08-19,8000.555
2019-08-16,7867.935
2019-08-15,7761.24
2019-08-14,7831.575
2019-08-13,7958.41
2019-08-12,7879.39
2019-08-09,7965.455
2019-08-08,7968.635
2019-08-07,7791.9
2019-08-06,7792.29
2019-08-05,7749.675
2019-08-02,8011.235
2019-08-01,8195.78
2019-07-31,8204.925
2019-07-30,8261.74
2019-07-29,8286.325
2019-07-26,8315.38
2019-07-25,8264.675
2019-07-24,8274.155
2019-07-23,8222.86
2019-07-22,8194.98
2019-07-19,8195.205
2019-07-18,8175.35
2019-07-17,8207.665
2019-07-16,8231.99
2019-07-15,8250.525
2019-07-12,8223.59
2019-07-11,8198.905
2019-07-10,8194.58
2019-07-09,8104.15
2019-07-08,8095.65
2019-07-05,8132.815
2019-07-03,8146.285
2019-07-02,8086.235
2019-07-01,8104.87
2019-06-28,7985.805
2019-06-27,7956.025
2019-06-26,7938.675
2019-06-25,7943.23
2019-06-24,8026.095
2019-06-21,8042.11
2019-06-20,8042.875
2019-06-19,7964.485
2019-06-18,7958.44
2019-06-17,7839.295
2019-06-14,7798.665
2019-06-13,7830.98
2019-06-12,7796.565
2019-06-11,7854.31
2019-06-10,7845.6
2019-06-07,7707.465
2019-06-06,7590.17
2019-06-05,7543.82
2019-06-04,7457.26
2019-06-03,7374.94
2019-05-31,7477.545
2019-05-30,7561.78
2019-05-29,7542.525
2019-05-28,7648.75
2019-05-24,7662.7
2019-05-23,7625.235
2019-05-22,7762.34
2019-05-21,7778.68
2019-05-20,7712.81
2019-05-17,7864.53
2019-05-16,7886.45
2019-05-15,7760.48
2019-05-14,7720.75
2019-05-13,7694.025
2019-05-10,7854.34
2019-05-09,7862.97
2019-05-08,7963.92
2019-05-07,7984.995
2019-05-06,8058.695
2019-05-03,8124.755
2019-05-02,8035.415
2019-05-01,8097.115
2019-04-30,8087.58
2019-04-29,8156.245
2019-04-26,8103.655
2019-04-25,8113.625
2019-04-24,8120.625
2019-04-23,8076.34
2019-04-22,7991.525
2019-04-18,7976.64
2019-04-17,8012.89
2019-04-16,7998.185
2019-04-15,7963.445
2019-04-12,7972.35
2019-04-11,7954.305
2019-04-10,7941.115
2019-04-09,7921.58
2019-04-08,7923.875
2019-04-05,7924.795
2019-04-04,7881.305
2019-04-03,7904.58
2019-04-02,7833.1
2019-04-01,7804.27
2019-03-29,7711.065
2019-03-28,7654.49
2019-03-27,7647.465
2019-03-26,7693.69
2019-03-25,7620.835
2019-03-22,7730.2
2019-03-21,7777.77
2019-03-20,7726.64
2019-03-19,7733.52
2019-03-18,7707.705
2019-03-15,7683.5
2019-03-14,7640.06
2019-03-13,7648.265
2019-03-12,7585.795
2019-03-11,7500.315
2019-03-08,7372.22
2019-03-07,7443.135
2019-03-06,7539.445
2019-03-05,7571.1
2019-03-04,7572.61
2019-03-01,7571.895
2019-02-28,7539.19
2019-02-27,7523.84
2019-02-26,7548.765
2019-02-25,7577.15
2019-02-22,7503.275
2019-02-21,7458.32
2019-02-20,7484.475
2019-02-19,7479.03
2019-02-15,7458.77
2019-02-14,7415.065
2019-02-13,7437.75
2019-02-12,7384.615
2019-02-11,7316.795
2019-02-08,7262.29
2019-02-07,7285.895
2019-02-06,7378.745
2019-02-05,7382.02
2019-02-04,7304.65
2019-02-01,7271.675
2019-01-31,7254.535
2019-01-30,7133.44
2019-01-29,7051.88
2019-01-28,7060.275
2019-01-25,7142.825
2019-01-24,7054.455
2019-01-23,7019.04
2019-01-22,7044.985
2019-01-18,7141
2019-01-17,7058.785
2019-01-16,7053.875
2019-01-15,6976.985
2019-01-14,6911.85
2019-01-11,6954.625
2019-01-10,6934.225
2019-01-09,6942.39
2019-01-08,6852.72
2019-01-07,6798.5
2019-01-04,6657.465
2019-01-03,6528.67
2019-01-02,6600.295
2018-12-31,6615.01
2018-12-28,6606.7
2018-12-27,6459.99
2018-12-26,6384.935
2018-12-24,6272.675
2018-12-21,6445.655
2018-12-20,6557.055
2018-12-19,6727.68
2018-12-18,6790.49
2018-12-17,6820.91
2018-12-14,6963.08
2018-12-13,7094.73
2018-12-12,7146.925
2018-12-11,7056.42
2018-12-10,6963.3
2018-12-07,7075.32
2018-12-06,7086.93
2018-12-04,7285.61
2018-12-03,7439.365
2018-11-30,7294.235
2018-11-29,7268.825
2018-11-28,7191.845
2018-11-27,7059.75
2018-11-26,7043.525
2018-11-23,6953.525
2018-11-21,6990.77
2018-11-20,6912.755
2018-11-19,7117.76
2018-11-16,7223.28
2018-11-15,7173.31
2018-11-14,7193.37
2018-11-13,7250.99
2018-11-12,7282.43
2018-11-09,7411.91
2018-11-08,7533.32
2018-11-07,7504.4
2018-11-06,7360.765
2018-11-05,7302.555
2018-11-02,7382.605
2018-11-01,7361.19
2018-10-31,7319.56
2018-10-30,7084.16
2018-10-29,7109.22
2018-10-26,7170.16
2018-10-25,7271.68
2018-10-24,7267.345
2018-10-23,7366.355
2018-10-22,7472.64
2018-10-19,7505.595
2018-10-18,7534.66
2018-10-17,7616.79
2018-10-16,7575.79
2018-10-15,7450.5
2018-10-12,7442.51
2018-10-11,7383.625
2018-10-10,7560.88
2018-10-09,7759.35
2018-10-08,7726.08
2018-10-05,7809.32
2018-10-04,7915.165
2018-10-03,8032.98
2018-10-02,8019.07
2018-10-01,8063.575
2018-09-28,8040.465
2018-09-27,8044.735
2018-09-26,8024.895
2018-09-25,7996.705
2018-09-24,7955.185
2018-09-21,8018.465
2018-09-20,8012.73
2018-09-19,7946.925
2018-09-18,7943.555
2018-09-17,7946.425
2018-09-14,8010.305
2018-09-13,8013.68
2018-09-12,7924.72
2018-09-11,7933.62
2018-09-10,7917.71
2018-09-07,7918.23
2018-09-06,7943.73
2018-09-05,8020.095
2018-09-04,8073.105
2018-08-31,8099.565
2018-08-30,8101.435
2018-08-29,8077.83
2018-08-28,8027.95
2018-08-27,8000.77
2018-08-24,7928.405
2018-08-23,7896.425
2018-08-22,7869.235
2018-08-21,7867.235
2018-08-20,7812.52
2018-08-17,7791.73
2018-08-16,7822.705
2018-08-15,7782.675
2018-08-14,7846.865
2018-08-13,7851.465
2018-08-10,7842.28
2018-08-09,7902.205
2018-08-08,7883.075
2018-08-07,7883.425
2018-08-06,7830.78
2018-08-03,7803.68
2018-08-02,7734.185
2018-08-01,7701.695
2018-07-31,7662.165
2018-07-30,7672.25
2018-07-27,7794.355
2018-07-26,7857.69
2018-07-25,7886.035
2018-07-24,7871.56
2018-07-23,7811.655
2018-07-20,7838.055
2018-07-19,7830.5
2018-07-18,7843.3
2018-07-17,7808.38
2018-07-16,7815.4
2018-07-13,7823.43
2018-07-12,7786.215
2018-07-11,7722.37
2018-07-10,7754.73
2018-07-09,7729.67
2018-07-06,7642.23
2018-07-05,7550.31
2018-07-03,7546.415
2018-07-02,7505.6
2018-06-29,7538.27
2018-06-28,7472.815
2018-06-27,7527.42
2018-06-26,7562.245
2018-06-25,7558.73
2018-06-22,7709.415
2018-06-21,7751.325
2018-06-20,7781.04
2018-06-19,7681.57
2018-06-18,7713.095
2018-06-15,7730.03
2018-06-14,7746.065
2018-06-13,7717.805
2018-06-12,7688.89
2018-06-11,7660.08
2018-06-08,7624.36
2018-06-07,7647.535
2018-06-06,7656.98
2018-06-05,7623.43
2018-06-04,7584.185
2018-06-01,7522.305
2018-05-31,7461.915
2018-05-30,7448.74
2018-05-29,7394.71
2018-05-25,7434.215
2018-05-24,7396.44
2018-05-23,7380.7
2018-05-22,7401.43
2018-05-21,7400.02
2018-05-18,7362.565
2018-05-17,7387.925
2018-05-16,7384.74
2018-05-15,7342.245
2018-05-14,7430.155
2018-05-11,7394.965
2018-05-10,7383.89
2018-05-09,7301.925
2018-05-08,7251.755
2018-05-07,7263.75
2018-05-04,7143.075
2018-05-03,7051.865
2018-05-02,7132.09
2018-05-01,7084.725
2018-04-30,7117.605
2018-04-27,7140.55
2018-04-26,7099.8
2018-04-25,6978.855
2018-04-24,7066.595
2018-04-23,7145.075
2018-04-20,7173.24
2018-04-19,7246.31
2018-04-18,7289.74
2018-04-17,7252.57
2018-04-16,7147.18
2018-04-13,7130.88
2018-04-12,7135.545
2018-04-11,7091.77
2018-04-10,7066.43
2018-04-09,7009.955
2018-04-06,6972.2
2018-04-05,7074.5
2018-04-04,6935.53
2018-04-03,6899.47
2018-04-02,6925.335
2018-03-29,7028.12
2018-03-28,6968.58
2018-03-27,7109.61
2018-03-26,7124.085
2018-03-23,7093.49
2018-03-22,7233.785
2018-03-21,7370.505
2018-03-20,7355.99
2018-03-19,7353.25
2018-03-16,7493.945
2018-03-15,7494.31
2018-03-14,7509.395
2018-03-13,7565.125
2018-03-12,7586.27
2018-03-09,7514.92
2018-03-08,7413.255
2018-03-07,7357.765
2018-03-06,7348.855
2018-03-05,7277.69
